,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,Kolaras,0,IN,1570571619,64,25.22,77.61,73.21,3.71
276,Leningradskiy,100,RU,1570571620,97,69.38,178.42,33.8,25.75
277,Izhma,39,RU,1570571620,82,65.01,53.91,33.49,10.91
278,Russell,1,US,1570571620,40,38.9,-98.86,75.2,20.8
279,Custoias,0,PT,1570571621,8,41.11,-7.32,66.99,3.49
280,Affery,100,CI,1570571621,99,6.32,-3.95,73.15,1.9
281,Ostrovnoy,100,RU,1570571622,98,68.05,39.51,38.01,14.42
282,Kapit,100,MY,1570571622,99,2.02,112.94,71.77,0.4
283,Nouadhibou,0,MR,1570571622,61,20.93,-17.03,77.0,12.75
284,Lalmohan,65,BD,1570571622,86,22.34,90.74,76.95,1.61
285,Hirara,40,JP,1570571623,78,24.8,125.28,78.8,12.75
286,Maldonado,0,UY,1570571565,63,-34.91,-54.96,61.46,7.4
287,Sibolga,98,ID,1570571624,84,1.74,98.78,78.86,9.08
288,Peabiru,0,BR,1570571624,50,-23.91,-52.35,78.8,8.05
289,Kibala,99,TD,1570571624,88,9.11,18.35,77.0,2.63
290,Tuktoyaktuk,75,CA,1570571625,69,69.44,-133.03,33.8,14.99
291,Putai,20,FR,1570571625,93,46.66,1.99,55.99,8.05
292,Comodoro,95,BR,1570571560,72,-13.66,-59.79,80.03,4.36
293,Manadhoo,92,MV,1570571625,77,5.77,73.38,82.09,9.81
294,Maniago,0,IT,1570571626,84,46.17,12.71,55.0,2.4
295,Chihuahua,5,MX,1570571626,37,28.66,-106.08,82.4,13.87
296,Yanggu,47,CN,1570571626,97,25.39,116.32,64.9,2.17
297,Rawson,100,AR,1570571374,27,-43.3,-65.11,60.74,13.76
298,Rio,1,US,1570571627,37,41.11,-90.4,72.0,6.93
299,Vila,75,IT,1570571627,93,45.18,8.4,61.0,2.24
300,Capaci,20,IT,1570571627,64,38.17,13.24,71.6,11.41
301,Salinopolis,32,BR,1570571628,76,-0.61,-47.36,81.55,21.34
302,Bontang,94,ID,1570571628,99,0.12,117.47,73.16,1.16
303,Guasdualito,75,VE,1570571628,100,7.24,-70.73,77.0,4.7
304,Eureka,20,US,1570571446,55,40.8,-124.16,66.2,20.8
305,Ola,100,RU,1570571629,86,59.58,151.3,30.7,13.61
306,Barcelos,100,BR,1570571629,77,-0.97,-62.93,81.44,5.5
307,Havelock,90,US,1570571629,88,34.88,-76.9,72.0,13.87
308,Atar,62,MR,1570571630,12,20.52,-13.05,91.66,11.83
309,Lewisporte,75,CA,1570571630,100,49.25,-55.06,55.4,5.82
310,Port,83,CD,1570571519,46,-7.04,29.76,69.09,3.0
311,Sydney,75,AU,1570571437,58,-33.85,151.22,57.99,17.22
312,Victoria,75,BN,1570571631,94,5.28,115.24,77.0,1.12
313,Bilibino,100,RU,1570571631,95,68.06,166.44,12.97,3.65
314,Dawei,8,MM,1570571631,79,14.07,98.19,80.32,6.53
315,Sainthia,90,IN,1570571631,94,23.95,87.68,74.8,5.26
316,Valparaiso,1,US,1570571497,35,41.47,-87.06,73.99,5.82
317,Leninskoye,0,RU,1570571632,90,54.82,82.85,33.8,2.24
318,Katsuura,20,JP,1570571632,100,33.93,134.5,66.2,8.05
319,Dingle,100,PH,1570571632,86,11.0,122.67,73.94,3.07
320,Barguzin,61,RU,1570571633,81,53.62,109.63,31.24,11.53
321,Pingliang,100,CN,1570571636,86,35.54,106.68,43.99,3.03
322,Santa,0,PH,1570571456,74,17.49,120.43,82.32,13.65
323,Petropavlovsk-Kamchatskiy,20,RU,1570571637,93,53.05,158.65,37.4,4.47
324,Ancud,20,CL,1570571638,62,-41.87,-73.83,51.8,10.29
325,Bereda,0,ES,1570571638,100,43.27,-7.54,55.99,3.36
326,Saint-Pierre,40,FR,1570571638,100,48.95,4.24,55.0,10.29
327,Nanortalik,100,GL,1570571639,94,60.14,-45.24,39.57,5.55
328,Tomatlan,6,MX,1570571639,77,19.93,-105.25,85.23,6.58
329,Waipawa,0,NZ,1570571639,58,-39.94,176.59,66.0,14.0
330,Kettering,75,AU,1570571639,66,-43.13,147.25,50.0,8.05
331,Balikpapan,83,ID,1570571640,95,-1.24,116.86,72.22,3.24
332,Xochistlahuaca,98,MX,1570571640,87,16.79,-98.24,71.92,2.33
333,Goroka,35,PG,1570571640,91,-6.07,145.39,57.18,4.03
334,Abu,20,JP,1570571641,82,34.51,131.49,60.01,4.7
335,Chapeco,20,BR,1570571641,57,-27.1,-52.62,75.2,3.44
336,Bubaque,95,GW,1570571641,84,11.28,-15.83,79.26,11.52
337,Canutama,65,BR,1570571641,55,-6.53,-64.38,86.98,4.14
338,Fortuna,20,US,1570571588,55,40.6,-124.16,66.2,20.8
339,Baruun-Urt,0,MN,1570571642,51,46.68,113.28,44.26,13.39
340,Owando,18,CG,1570571643,84,-0.49,15.91,73.66,0.67
341,Hasaki,75,JP,1570571643,72,35.73,140.83,64.4,8.05
342,Tete,0,MZ,1570571643,35,-16.16,33.59,86.0,3.36
343,Maragogi,44,BR,1570571424,88,-9.01,-35.22,71.99,5.59
344,Khani,0,GE,1570571644,82,41.96,42.96,64.4,10.29
345,Necochea,0,AR,1570571644,81,-38.55,-58.74,52.0,3.0
346,Tautira,75,PF,1570571645,62,-17.73,-149.15,84.2,4.7
347,Armacao,40,BR,1570571645,78,-27.75,-48.51,75.0,8.05
348,Bandarbeyla,29,SO,1570571645,83,9.49,50.81,76.6,5.93
349,Gorin,59,BF,1570571646,82,12.34,-0.67,76.75,15.59
350,Faanui,56,PF,1570571646,84,-16.48,-151.75,77.41,20.76
351,Fondi,0,IT,1570571647,77,41.36,13.43,64.4,8.05
352,Takoradi,97,GH,1570571647,90,4.89,-1.75,76.08,8.03
353,Turayf,40,SA,1570571647,57,31.68,38.65,77.0,9.17
354,Along,100,IN,1570571647,99,28.17,94.8,55.62,1.3
355,Zhigansk,80,RU,1570571648,74,66.77,123.37,22.95,10.44
356,Sorland,20,NO,1570571648,60,67.67,12.69,41.0,13.87
357,Kiruna,99,SE,1570571649,92,67.86,20.23,28.4,5.82
358,Kiunga,100,PG,1570571649,99,-6.12,141.3,72.12,1.58
359,Zlatibor,0,RS,1570571649,65,43.73,19.7,46.4,6.93
360,Caluquembe,100,AO,1570571650,66,-13.78,14.68,65.72,9.42
361,Kabalo,70,CD,1570571650,90,-6.05,26.92,70.69,4.99
362,Aksha,100,RU,1570571650,79,50.28,113.29,42.04,8.21
363,Inhambane,95,MZ,1570571651,89,-23.87,35.38,75.72,12.19
364,Atlantic,1,US,1570571644,37,41.4,-95.01,71.6,12.75
365,Aras,48,ES,1570571651,82,42.56,-2.36,66.0,2.24
366,Bosilegrad,29,RS,1570571651,75,42.5,22.47,46.23,5.53
367,Agadez,1,NE,1570571652,51,16.97,7.99,82.4,21.92
368,Ifanadiana,79,MG,1570571652,99,-21.3,47.64,63.0,1.14
369,Aksarka,97,RU,1570571652,89,66.56,67.8,33.84,11.48
370,Teguldet,0,RU,1570571653,90,57.31,88.17,30.81,4.27
371,Mgandu,32,TZ,1570571654,65,-5.96,34.11,66.92,11.84
372,Beloha,0,MG,1570571657,43,-25.17,45.06,78.31,2.91
373,Elko,1,US,1570571657,18,40.83,-115.76,71.6,14.99
374,Odesskoye,0,RU,1570571658,66,54.21,72.97,53.88,6.22
375,Shingu,8,JP,1570571658,97,33.72,135.99,50.24,7.16
376,Richards,1,US,1570571659,40,46.84,-95.91,69.8,18.34
377,Anadyr,75,RU,1570571659,82,64.73,177.51,32.0,13.42
378,Foix,42,FR,1570571659,77,42.97,1.61,66.99,2.24
379,Reitz,0,ZA,1570571660,72,-27.8,28.43,51.87,7.41
380,Kidal,32,ML,1570571660,24,18.44,1.41,90.72,11.22
381,Rocha,0,UY,1570571660,64,-34.48,-54.34,60.5,4.43
382,Darnah,100,LY,1570571661,74,32.77,22.64,77.37,24.7
383,Itarema,30,BR,1570571661,69,-2.92,-39.92,77.24,14.5
384,Marabba,67,SD,1570571662,62,12.35,32.18,81.98,11.83
385,Ambilobe,6,MG,1570571662,69,-13.19,49.05,75.62,13.82
386,Nome,1,US,1570571662,57,30.04,-94.42,84.99,5.82
387,Flin,75,FR,1570571663,100,48.5,6.66,62.6,11.41
388,Nuuk,20,GL,1570571663,69,64.17,-51.74,35.6,1.12
389,Marrakesh,0,MA,1570571663,34,31.63,-7.99,78.8,2.24
390,Kalmunai,22,LK,1570571664,73,7.42,81.82,82.26,5.51
391,Constantine,20,DZ,1570571664,82,36.36,6.61,55.4,5.82
392,Mahibadhoo,43,MV,1570571664,70,3.78,72.97,81.87,2.77
393,Alofi,75,NU,1570571665,65,-19.06,-169.92,78.8,13.87
394,Gazojak,0,TM,1570571665,27,41.19,61.4,61.3,6.69
395,Camocim,50,BR,1570571665,59,-2.9,-40.84,80.92,13.47
396,Gabu,100,CN,1570571666,92,34.78,103.0,40.2,3.51
397,Tucuman,0,PE,1570571666,18,-17.17,-70.89,68.6,10.33
398,Husavik,0,CA,1570571666,47,50.56,-96.99,64.99,5.01
399,Angoche,0,MZ,1570571667,80,-16.23,39.91,76.79,6.82
400,Churhat,0,IN,1570571667,62,24.43,81.67,72.81,2.17
401,Numan,0,NG,1570571667,86,9.46,12.04,74.73,6.2
402,Kerman,0,IR,1570571668,10,30.29,57.06,66.2,4.7
403,Nikki,100,BJ,1570571668,93,9.94,3.21,72.91,3.08
404,Coihaique,40,CL,1570571668,50,-45.58,-72.07,53.6,9.17
405,Merauke,85,ID,1570571668,78,-8.49,140.4,77.14,15.05
406,Zyryanka,100,RU,1570571669,69,65.73,150.89,17.3,4.32
407,Keskin,87,TR,1570571669,81,39.67,33.62,55.99,1.01
408,Otane,0,NZ,1570571669,58,-39.89,176.62,66.0,14.0
409,Dryden,1,CA,1570571670,42,49.79,-92.84,66.2,19.46
410,Port-Gentil,75,GA,1570571670,88,-0.72,8.78,78.8,11.41
411,Dicabisagan,95,PH,1570571670,89,17.08,122.42,76.32,10.24
412,San,100,ML,1570571671,31,13.3,-4.9,87.41,9.86
413,Gallup,1,US,1570571671,23,35.53,-108.74,75.2,17.22
414,Zabol,0,IR,1570571671,25,31.03,61.49,73.4,13.87
415,Evensk,1,RU,1570571672,45,61.92,159.24,20.26,7.13
416,Huilong,94,CN,1570571672,94,31.15,106.5,60.4,3.49
417,Tokur,5,RU,1570571672,97,53.13,132.9,29.42,4.54
418,Teyateyaneng,0,LS,1570571673,28,-29.15,27.74,53.51,4.02
419,Yaya,0,RU,1570571676,92,56.2,86.45,35.36,4.65
420,Sinjar,41,SY,1570571676,39,35.59,37.0,70.73,5.26
421,Vaitape,56,PF,1570571677,84,-16.52,-151.75,77.41,20.76
422,Antofagasta,20,CL,1570571677,72,-23.65,-70.4,59.0,11.41
423,Hornepayne,0,CA,1570571677,49,49.22,-84.78,60.57,14.5
424,Zambezi,21,ZM,1570571678,57,-13.55,23.12,70.11,3.04
425,Siauliai,90,LT,1570571415,93,55.93,23.32,41.0,13.87
426,Urrao,75,CO,1570571678,68,6.32,-76.13,71.6,8.05
427,Goias,85,BR,1570571678,77,-15.93,-50.14,76.2,7.76
428,Aloleng,0,PH,1570571679,73,16.13,119.78,82.35,7.23
429,Dunedin,100,NZ,1570571679,85,-45.87,170.5,54.0,3.0
430,Buala,74,SB,1570571680,77,-8.15,159.59,82.02,2.71
431,Ponta,100,BR,1570571680,60,-0.53,-65.05,88.25,0.61
432,Busayra,37,JO,1570571680,54,30.74,35.61,63.9,1.91
433,Makakilo,1,US,1570571397,66,21.35,-158.09,84.99,6.93
434,Santa,0,PH,1570571681,85,17.49,120.43,71.65,4.15
435,Rio,1,US,1570571681,37,41.11,-90.4,72.0,6.93
436,Balkhash,0,KZ,1570571681,32,46.84,74.98,57.79,6.35
437,Sinnamary,28,GF,1570571682,80,5.38,-52.96,82.59,17.13
438,Kargasok,100,RU,1570571682,84,59.06,80.87,35.77,4.32
439,Svetlogorsk,67,RU,1570571682,93,53.14,59.15,39.2,2.24
440,Kenai,90,US,1570571682,76,60.55,-151.26,51.8,16.11
441,Harper,1,US,1570571683,32,30.3,-99.24,86.0,5.82
442,Mortka,100,RU,1570571683,89,59.33,66.02,48.26,2.84
443,Marsassoum,90,SN,1570571683,94,12.83,-15.98,78.8,4.7
444,Moerai,70,PF,1570571684,66,-22.43,-151.33,68.53,14.38
445,Santiago,99,PH,1570571684,97,16.69,121.54,70.95,1.23
446,Nhulunbuy,88,AU,1570571684,88,-12.18,136.78,73.4,10.33
447,Jinchang,100,CN,1570571685,57,38.52,102.19,50.07,12.52
448,Maceio,20,BR,1570571685,83,-9.67,-35.74,75.2,10.29
449,Marovoay,0,MG,1570571685,51,-16.11,46.64,80.6,11.41
450,Nyandoma,100,RU,1570571685,97,61.67,40.21,32.22,14.12
451,Manta,0,RO,1570571686,79,45.1,24.1,40.31,2.77
452,Kitimat,40,CA,1570571686,45,54.02,-128.69,44.6,6.93
453,Banda,0,IN,1570571686,76,28.24,80.11,72.17,5.73
454,Ayan,77,IR,1570571467,58,38.23,44.7,47.63,5.06
455,Lompoc,90,US,1570571687,87,34.64,-120.46,80.01,4.7
456,Cruzeiro,90,BR,1570571687,88,-22.58,-44.96,68.0,2.24
457,Lagoa,0,PT,1570571688,78,37.14,-8.45,73.0,6.93
458,Santa,0,PH,1570571688,74,17.49,120.43,82.32,13.65
459,Tual,100,ID,1570571688,82,-5.67,132.75,77.9,8.01
460,Birobidzhan,0,RU,1570571689,93,48.79,132.93,32.28,3.31
461,Bonavista,100,CA,1570571689,82,48.65,-53.11,55.0,11.01
462,Porto,20,PT,1570571689,87,41.15,-8.61,64.0,10.29
463,Ojinaga,1,US,1570571689,33,29.56,-104.41,87.8,6.93
464,ban,100,LA,1570571690,99,20.02,104.61,64.35,0.67
465,Kalaleh,0,IR,1570571690,82,37.38,55.49,64.4,1.23
466,San,100,ML,1570571583,31,13.3,-4.9,87.41,9.86
467,Sangmelima,81,CM,1570571691,99,2.93,11.98,67.97,2.64
468,Iralaya,75,HN,1570571691,79,15.0,-83.23,84.2,6.93
469,Pangnirtung,75,CA,1570571692,86,66.15,-65.72,37.4,2.17
470,Lac,0,RO,1570571692,82,44.61,23.07,46.0,6.34
471,Baiyin,90,CN,1570571693,100,36.55,104.13,46.4,2.24
472,Penzance,34,GB,1570571418,76,50.12,-5.53,55.99,16.11
473,Vostok,100,RU,1570571697,96,46.45,135.83,39.63,16.35
474,Moron,11,HT,1570571697,72,18.56,-74.26,84.03,7.38
475,Wawa,77,NG,1570571697,96,9.9,4.41,72.45,4.41
476,Smithers,75,CA,1570571698,55,54.78,-127.17,37.4,4.7
477,Belmonte,0,PT,1570571698,77,40.36,-7.35,64.0,4.59
478,Berlevag,75,NO,1570571700,80,70.86,29.09,39.2,20.8
479,Jalingo,97,NG,1570571700,93,10.21,12.82,71.08,1.51
480,Honiara,40,SB,1570571700,83,-9.43,159.96,80.6,4.7
481,Zhangye,100,CN,1570571701,51,38.94,100.46,57.07,1.59
482,Vanavara,7,RU,1570571701,67,60.35,102.28,22.31,8.5
483,San,100,ML,1570571671,31,13.3,-4.9,87.41,9.86
484,Vila,75,IT,1570571702,93,45.18,8.4,61.0,2.24
485,Yarada,75,IN,1570571702,100,17.65,83.27,77.0,2.24
486,Sarankhola,87,BD,1570571702,88,22.31,89.79,76.01,2.49
487,Songjianghe,0,CN,1570571703,63,42.18,127.48,34.73,5.32
488,Kattivakkam,40,IN,1570571704,88,13.22,80.32,82.99,4.7
489,Snasa,100,NO,1570571705,93,64.25,12.38,30.56,20.42
490,Uttaradit,5,TH,1570571705,94,17.63,100.1,72.79,4.44
491,Peleduy,24,RU,1570571705,97,59.63,112.75,10.41,2.62
492,Malindi,71,KE,1570571705,90,-3.22,40.12,75.8,4.83
493,Zhezkazgan,0,KZ,1570571706,38,47.8,67.71,54.36,4.76
494,Puerto,100,AR,1570571706,27,-51.62,-69.23,50.0,27.51
495,Giyani,33,ZA,1570571706,73,-23.32,30.73,71.18,13.4
496,Sokoni,85,CD,1570571707,42,-12.89,28.78,72.55,1.52
497,Viedma,0,AR,1570571707,26,-40.81,-62.99,63.58,11.68
498,Biscarrosse,100,FR,1570571708,93,44.41,-1.18,64.99,5.48
499,Atasu,0,KZ,1570571709,37,48.68,71.64,55.51,3.22
500,Lata,0,IN,1570571709,85,30.78,78.62,28.48,1.43
501,Gamba,87,CN,1570571709,74,28.28,88.52,31.34,4.79
502,Chifeng,7,CN,1570571710,38,42.27,118.96,42.25,8.43
503,Komsomolskiy,98,RU,1570571710,84,67.55,63.78,31.77,6.47
504,Athabasca,100,CA,1570571711,44,54.72,-113.29,33.07,12.37
505,Penalva,100,BR,1570571711,65,-3.29,-45.17,82.86,3.58
506,Bagdarin,86,RU,1570571711,92,54.44,113.59,23.36,4.48
507,Paka,80,CF,1570571712,96,4.15,15.03,69.15,0.83
508,Salvador,20,BR,1570571712,74,-12.98,-38.48,80.6,13.87
509,Malaut,0,IN,1570571712,35,30.22,74.48,72.94,4.12
510,Bondo,100,CD,1570571714,98,3.81,23.69,67.77,1.37
511,Saurimo,100,AO,1570571717,81,-9.66,20.4,65.84,1.59
512,Kenora,20,CA,1570571717,52,49.76,-94.48,64.4,18.34
513,Acapulco,75,MX,1570571717,79,16.86,-99.88,86.0,9.17
514,Clyde,100,NZ,1570571718,95,-45.19,169.32,48.99,0.92
515,Soto,75,AR,1570571718,82,-32.81,-61.4,68.0,3.36
516,Bezhetsk,58,RU,1570571719,95,57.78,36.69,30.42,7.47
517,Baley,94,RU,1570571719,80,51.58,116.65,43.7,12.98
518,Sao,0,IN,1570571565,80,20.51,76.21,72.0,2.84
519,Parana,20,BR,1570571720,70,-7.52,-72.89,84.2,3.36
520,Wakefield,40,GB,1570571422,81,53.68,-1.5,53.01,12.75
521,Miles,0,AU,1570571722,38,-26.66,150.19,56.61,14.19
522,Oga,1,IT,1570571722,100,46.46,10.35,46.0,3.36
523,Qaqortoq,100,GL,1570571722,93,60.72,-46.03,37.4,2.24
524,Garowe,1,SO,1570571723,63,8.41,48.48,79.19,13.04
525,Sabha,29,LY,1570571723,27,27.03,14.43,70.22,3.09
526,Tiznit,0,MA,1570571725,52,29.7,-9.73,69.91,2.39
527,Nelson,100,CA,1570571726,51,49.49,-117.29,40.31,3.29
528,Zeya,100,RU,1570571726,64,53.74,127.27,33.53,6.55
529,Iroquois,1,CA,1570571727,39,44.85,-75.31,64.0,1.3
530,Kathu,0,ZA,1570571727,26,-27.7,23.05,66.0,9.73
531,Orange,0,AU,1570571727,66,-33.28,149.1,46.0,1.01
532,Neuquen,0,AR,1570571560,18,-38.95,-68.06,71.6,6.93
533,Verkhnyaya,100,RU,1570571728,91,60.98,40.21,32.26,11.56
534,Severnyy-Kospashskiy,100,RU,1570571728,89,59.09,57.8,36.12,1.87
535,Lincolnton,90,US,1570571728,82,35.47,-81.25,70.0,3.36
536,Liverpool,18,GB,1570571729,81,53.41,-2.98,54.0,13.87
537,Kauhajoki,90,FI,1570571729,95,62.43,22.18,35.01,2.24
538,Port,89,CD,1570571730,66,-7.04,29.76,79.79,1.49
539,Kudat,75,MY,1570571730,100,6.89,116.84,73.4,2.24
540,Morehead,90,US,1570571731,60,38.18,-83.43,69.8,3.36
541,Makurdi,90,NG,1570571731,93,7.73,8.54,73.68,3.27
542,Puerto,0,AR,1570571731,27,-51.62,-69.23,50.0,27.51
543,Nurota,0,UZ,1570571731,30,40.56,65.69,53.6,9.17
544,Yaan,100,NG,1570571732,95,7.38,8.57,73.0,5.17
545,Williams,100,AU,1570571732,71,-33.03,116.88,54.44,5.3
546,Kieta,91,PG,1570571733,78,-6.22,155.63,81.27,4.49
547,Moranbah,0,AU,1570571736,29,-22.0,148.04,73.64,24.0
548,Carutapera,100,BR,1570571737,76,-1.2,-46.02,79.82,9.93
549,Athol,1,US,1570571737,62,42.6,-72.23,61.0,5.12
550,Marawi,46,PH,1570571737,90,8.0,124.29,73.0,5.01
